username,points,is_winner
andrzej,2,FALSE
matalon,5.5,FALSE
dhaydon19,7,FALSE
mostafa_sakha,5.5,FALSE
olakenn,2,FALSE
gmg,6.5,FALSE
handknit,0,FALSE
kosmeg,1,FALSE
hoshiboshi,4,FALSE
danielnaroditsky,8.5,FALSE
dcremisi,0,FALSE
houseofdurin,3.5,FALSE
storeysniper,3,FALSE
topce,4,FALSE
socoloco,4,FALSE
kaydentroffchess,8.5,FALSE
billcoe,4,FALSE
dennisodessa,7.5,FALSE
colombiano07,4.5,FALSE
mikesailer,0,FALSE
wanyaland,0,FALSE
jamengrand,3,FALSE
ljm509,0,FALSE
magnuscarlsen,8.5,FALSE
oparingrigoriy,9,FALSE
zenitushka,1,FALSE
kiborg95,1,FALSE
chesselephant,4.5,FALSE
zq1,6,FALSE
guillembaches,2.5,FALSE
alexeishirov,7.5,FALSE
marvinguevara,5,FALSE
talaicito,6,FALSE
knvb,5.5,FALSE
rhungaski,6.5,FALSE
richardshtivelband,3,FALSE
manitodeplomo,5,FALSE
jahonas,6,FALSE
malev212,2,FALSE
koncheto,1,FALSE
faqade,0.5,FALSE
donjuan_34,1,FALSE
dabee,2,FALSE
laskakid,1,FALSE
yaacovn,3.5,FALSE
farzadbfd,6.5,FALSE
crimefightingspider07,2,FALSE
aungtz,0,FALSE
nochewycandy,5.5,FALSE
rz0,6.5,FALSE
imrosen,7,FALSE
alexandermatlak,6,FALSE
roedor,3.5,FALSE
dretch,5.5,FALSE
schmakattack,7.5,FALSE
pooh2012,3.5,FALSE
biostatistician,2,FALSE
nihalsarin,8,FALSE
2346pl,2,FALSE
djano,6.5,FALSE
s-dshubin,0.5,FALSE
squirlolz,0,FALSE
dragonb70,6.5,FALSE
giorgianbarbosa,3,FALSE
penguingm1,2,FALSE
campochess,4,FALSE
jaramsdal,2,FALSE
wild3000,0,FALSE
maurovargas01,1,FALSE
lucasran,2,FALSE
emmachess,5.5,FALSE
duhless,8,FALSE
rashad_zeynalli,4,FALSE
luismiguelov,5,FALSE
gasconjr,4,FALSE
enriquebutti,4.5,FALSE
ingoscarardila,1.5,FALSE
kaustubh_kodihalli,4.5,FALSE
jcibarra,7.5,FALSE
kleber2007,5.5,FALSE
sirinbaba33,3,FALSE
tgpgoat,5.5,FALSE
moro182,3,FALSE
chesswarrior7197,6.5,FALSE
roachelley,4,FALSE
sacbutt,1,FALSE
matagordo,3.5,FALSE
cthake,1,FALSE
